1	北京	0	b	bj	beijing		市	110000	010	1
2	天津	0	t	tj	tianjin		市	120000	022	2
3	上海	0	s	sh	shanghai		市	310000	021	3
4	重庆	0	c	cq	chongqing		市	500000	023	4
5	河北	0	h	hb	hebei		省	130000		5
6	山西	0	s	sx	shanxi		省	140000		6
7	内蒙古	0	n	nmg	neimenggu		自治区	150000		7
8	辽宁	0	l	ln	liaoning		省	210000		8
9	吉林	0	j	jl	jilin		省	220000		9
10	黑龙江	0	h	hlj	heilongjiang		省	230000		10
11	江苏	0	j	js	jiangsu		省	320000		11
12	浙江	0	z	zj	zhejiang		省	330000		12
13	安徽	0	a	ah	anhui		省	340000		13
14	福建	0	f	fj	fujian		省	350000		14
15	江西	0	j	jx	jiangxi		省	360000		15
16	山东	0	s	sd	shandong		省	370000		16
17	河南	0	h	hn	henan		省	410000		17
18	湖北	0	h	hb	hubei		省	420000		18
19	湖南	0	h	hn	hunan		省	430000		19
20	广东	0	g	gd	guangdong		省	440000		20
21	广西	0	g	gx	guangxi	壮族	自治区	450000		21
22	海南	0	h	hn	hainan		省	460000		22
23	四川	0	s	sc	sichuan		省	510000		23
24	贵州	0	g	gz	guizhou		省	520000		24
25	云南	0	y	yn	yunnan		省	530000		25
26	西藏	0	x	xz	xizang		自治区	540000		26
27	陕西	0	s	sx	shanxi		省	610000		27
28	甘肃	0	g	gs	gansu		省	620000		28
29	青海	0	q	qh	qinghai		省	630000		29
30	宁夏	0	n	nx	ningxia	回族	自治区	640000		30
31	新疆	0	x	xj	xinjiang	维吾尔	自治区	650000		31
32	台湾	0	t	tw	taiwan		省	710000		32
33	香港	0	x	xg	xianggang		特别行政区	810000	852	33
34	澳门	0	a	am	aomen		特别行政区	820000	853	34
35	海外	0	h	hw	haiwai					35
36	东城	1	d	dc	dongcheng		区	110101	010	1
37	西城	1	x	xc	xicheng		区	110102	010	2
40	朝阳	1	c	cy	chaoyang		区	110105	010	5
41	丰台	1	f	ft	fengtai		区	110106	010	6
42	石景山	1	s	sjs	shijingshan		区	110107	010	7
43	海淀	1	h	hd	haidian		区	110108	010	8
44	门头沟	1	m	mtg	mentougou		区	110109	010	9
45	房山	1	f	fs	fangshan		区	110111	010	10
46	通州	1	t	tz	tongzhou		区	110112	010	11
47	顺义	1	s	sy	shunyi		区	110113	010	12
48	昌平	1	c	cp	changping		区	110114	010	13
49	大兴	1	d	dx	daxing		区	110115	010	14
50	怀柔	1	h	hr	huairou		区	110116	010	15
51	平谷	1	p	pg	pinggu		区	110117	010	16
52	密云	1	m	my	miyun		区	110228	010	17
53	延庆	1	y	yq	yanqing		区	110229	010	18
54	和平	2	h	hp	heping		区	120101	022	1
55	河东	2	h	hd	hedong		区	120102	022	2
56	河西	2	h	hx	hexi		区	120103	022	3
57	南开	2	n	nk	nankai		区	120104	022	4
58	河北	2	h	hb	hebei		区	120105	022	5
59	红桥	2	h	hq	hongqiao		区	120106	022	6
60	东丽	2	d	dl	dongli		区	120110	022	7
61	西青	2	x	xq	xiqing		区	120111	022	8
62	津南	2	j	jn	jinnan		区	120112	022	9
63	北辰	2	b	bc	beichen		区	120113	022	10
64	武清	2	w	wq	wuqing		区	120114	022	11
65	宝坻	2	b	bc	baochi		区	120115	022	12
66	滨海新区	2	b	bhxq	binhaixinqu			120116	022	13
67	宁河	2	n	nh	ninghe		区	120117	022	14
68	蓟州	2	j	jz	jizhou		区	120119	022	16
69	静海	2	j	jh	jinghai		区	120118	022	15
70	黄浦	3	h	hp	huangpu		区	310101	021	1
71	徐汇	3	x	xh	xuhui		区	310104	021	2
72	长宁	3	c	cn	changning		区	310105	021	3
73	静安	3	j	ja	jingan		区	310106	021	4
74	普陀	3	p	pt	putuo		区	310107	021	5
76	虹口	3	h	hk	hongkou		区	310109	021	6
77	杨浦	3	y	yp	yangpu		区	310110	021	7
78	闵行	3	m	mx	minxing		区	310112	021	8
79	宝山	3	b	bs	baoshan		区	310113	021	9
80	嘉定	3	j	jd	jiading		区	310114	021	10
81	浦东新区	3	p	pdxq	pudongxinqu			310115	021	11
82	金山	3	j	js	jinshan		区	310116	021	12
83	松江	3	s	sj	songjiang		区	310117	021	13
84	青浦	3	q	qp	qingpu		区	310118	021	14
85	奉贤	3	f	fx	fengxian		区	310120	021	15
86	崇明	3	c	cm	chongming		区	310151	021	16
87	万州	4	w	wz	wanzhou		区	500101	023	1
88	涪陵	4	f	fl	fuling		区	500102	023	2
89	渝中	4	y	yz	yuzhong		区	500103	023	3
90	大渡口	4	d	ddk	dadukou		区	500104	023	4
91	江北	4	j	jb	jiangbei		区	500105	023	5
92	沙坪坝	4	s	spb	shapingba		区	500106	023	6
93	九龙坡	4	j	jlp	jiulongpo		区	500107	023	7
94	南岸	4	n	na	nanan		区	500108	023	8
95	北碚	4	b	bb	beibei		区	500109	023	9
96	綦江	4	q	qj	qijiang		区	500110	023	10
97	大足	4	d	dz	dazu		区	500111	023	11
98	渝北	4	y	yb	yubei		区	500112	023	12
99	巴南	4	b	bn	banan		区	500113	023	13
100	黔江	4	q	qj	qianjiang		区	500114	023	14
